icd10,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
D68311,1,0,0,0,0,0,0,0
D68312,1,0,0,0,0,0,0,0
D68318,1,0,0,0,0,0,0,0
D6851,1,0,0,0,0,0,0,0
D6852,1,0,0,0,0,0,0,0
D6859,1,0,0,0,0,0,0,0
D6861,1,0,0,0,0,0,0,0
D6862,1,0,0,0,0,0,0,0
D6869,1,0,0,0,0,0,0,0
D693,1,0,0,0,0,0,0,0
D6941,1,0,0,0,0,0,0,0
D6942,1,0,0,0,0,0,0,0
D6949,1,0,0,0,0,0,0,0
D6951,1,0,0,0,0,0,0,0
D6959,1,0,0,0,0,0,0,0
D696,1,0,0,0,0,0,0,0
D700,1,0,0,0,0,0,0,0
D701,1,0,0,0,0,0,0,0
D702,1,0,0,0,0,0,0,0
D703,1,0,0,0,0,0,0,0
D704,1,0,0,0,0,0,0,0
D708,1,0,0,0,0,0,0,0
D709,1,0,0,0,0,0,0,0
D72810,1,0,0,0,0,0,0,0
D72818,1,0,0,0,0,0,0,0
D72819,1,0,0,0,0,0,0,0
D72820,1,0,0,0,0,0,0,0
D72821,1,0,0,0,0,0,0,0
D72822,1,0,0,0,0,0,0,0
D72823,1,0,0,0,0,0,0,0
D72824,1,0,0,0,0,0,0,0
D72825,1,0,0,0,0,0,0,0
D72828,1,0,0,0,0,0,0,0
D72829,1,0,0,0,0,0,0,0
D7381,1,0,0,0,0,0,0,0
D7581,1,0,0,0,0,0,0,0
D7582,1,0,0,0,0,0,0,0
D7589,1,0,0,0,0,0,0,0
D761,1,0,0,0,0,0,0,0
D762,1,0,0,0,0,0,0,0
D763,1,0,0,0,0,0,0,0
D77,1,0,0,0,0,0,0,0
D7801,0,0,0,0,1,0,0,0
D7802,0,0,0,0,1,0,0,0
D7811,0,0,0,0,1,0,0,0
D7812,0,0,0,0,1,0,0,0
D7821,0,0,0,0,1,0,0,0
D7822,0,0,0,0,1,0,0,0
D7881,0,0,0,0,1,0,0,0
D7889,0,0,0,0,1,0,0,0
D892,1,0,0,0,0,0,0,0
D89810,0,0,0,0,1,0,0,0
D89811,0,0,0,0,1,0,0,0
D89812,0,0,0,0,1,0,0,0
D89813,0,0,0,0,1,0,0,0
D8982,1,0,0,0,0,0,0,0
E039,0,0,0,1,0,0,0,0
E0590,0,0,1,0,0,0,0,0
E0800,0,0.6666666667,0.3333333333,0,0,0,0,0
E0801,0,0.6666666667,0.3333333333,0,0,0,0,0
E0810,0,1,0,0,0,0,0,0
E0811,0,0.6666666667,0.3333333333,0,0,0,0,0
E0821,0,1,0,0,0,0,0,0
E0822,0,1,0,0,0,0,0,0
E0829,0,1,0,0,0,0,0,0
E08311,0,1,0,0,0,0,0,0
E08319,0,1,0,0,0,0,0,0
E08321,0,1,0,0,0,0,0,0
E08329,0,1,0,0,0,0,0,0
