diagnosis_code,cms_hcc_esrd_v21,cms_hcc_esrd_v24,cms_hcc_v22,cms_hcc_v24,cms_hcc_v28,rx_hcc_v05,rx_hcc_v08
C8122,10,10,10,10,21,,21
C8123,10,10,10,10,21,,21
C8124,10,10,10,10,21,,21
C8125,10,10,10,10,21,,21
C8126,10,10,10,10,21,,21
C8127,10,10,10,10,21,,21
C8128,10,10,10,10,21,,21
C8129,10,10,10,10,21,,21
C8130,10,10,10,10,21,,21
C8131,10,10,10,10,21,,21
C8132,10,10,10,10,21,,21
C8133,10,10,10,10,21,,21
C8134,10,10,10,10,21,,21
C8135,10,10,10,10,21,,21
C8136,10,10,10,10,21,,21
C8137,10,10,10,10,21,,21
C8138,10,10,10,10,21,,21
C8139,10,10,10,10,21,,21
C8140,10,10,10,10,21,,21
C8141,10,10,10,10,21,,21
C8142,10,10,10,10,21,,21
C8143,10,10,10,10,21,,21
C8144,10,10,10,10,21,,21
C8145,10,10,10,10,21,,21
C8146,10,10,10,10,21,,21
C8147,10,10,10,10,21,,21
C8148,10,10,10,10,21,,21
C8149,10,10,10,10,21,,21
C8170,10,10,10,10,21,,21
C8171,10,10,10,10,21,,21
C8172,10,10,10,10,21,,21
C8173,10,10,10,10,21,,21
C8174,10,10,10,10,21,,21
C8175,10,10,10,10,21,,21
C8176,10,10,10,10,21,,21
C8177,10,10,10,10,21,,21
C8178,10,10,10,10,21,,21
C8179,10,10,10,10,21,,21
C8190,10,10,10,10,21,,21
C8191,10,10,10,10,21,,21
C8192,10,10,10,10,21,,21
C8193,10,10,10,10,21,,21
C8194,10,10,10,10,21,,21
C8195,10,10,10,10,21,,21
C8196,10,10,10,10,21,,21
C8197,10,10,10,10,21,,21
C8198,10,10,10,10,21,,21
C8199,10,10,10,10,21,,21
C8200,10,10,10,10,21,,21
C8201,10,10,10,10,21,,21
C8202,10,10,10,10,21,,21
C8203,10,10,10,10,21,,21
C8204,10,10,10,10,21,,21
C8205,10,10,10,10,21,,21
C8206,10,10,10,10,21,,21
C8207,10,10,10,10,21,,21
